#Name,z,z_err,K0(keV.cm^2),K0_err,K100(keV.cm^2),K100_err,alpha,Tx(keV),Tx_err,Lbol(10^44erg/sec),Lbol_err,UL?,LHa(10^40erg/sec),LHa_err,UL?,Lrad(10^40erg/sec),Lrad_err
MACS_J0744.8+3927,0.686,0,42.38,0,112.02,0,1.11,11.29,0,24.9,0,?,,,<,58,0
MACS_J1115.2+5320,0.439,0,292.28,0,27.56,0,1.73,8.03,0,14.3,0,?,,,<,19.6,0
MACS_J1115.8+0129,0.3521,0,14.76,0,107.65,0,1.31,9.26,0,1.49,0,?,,,=,6.67,0
MACS_J1131.8-1955,0.307,0,97.26,0,156.32,0,1.15,8.3,0,17.6,0,?,,,<,8.42,0
MACS_J1149.5+2223,0.544,0,280.69,0,33.13,0,1.47,8.4,0,2.53,0,?,,,<,2.38,0
MACS_J1206.2-0847,0.43984,0.00015,69.04,0,94.69,0,1.28,7.88,0,37.3,0,?,,,=,1270,0
MACS_J1311.0-0310,0.494,0,47.36,0,63.47,0,1.62,8,0,10.2,0,?,,,<,26,0
MACS_J1621.3+3810,0.461,0,20.08,0,129.83,0,1.18,7.53,0,11.6,0,?,,,=,77.5,0
MACS_J1931.8-2634,0.352,0,14.56,0,87.52,0,1.27,7.5,0,23.4,0,?,,,<,11.6,0
MACS_J2049.9-3217,0.3254,0,195.85,0,92.71,0,1.06,6.98,0,8.71,0,?,,,<,9.64,0
MACS_J2211.7-0349,0.27,0,165.49,0,78.26,0,1.59,10.51,0,22.2,0,?,,,<,6.26,0
MACS_J2214.9-1359,0.5026,0,297.7,0,171.96,0,1.46,8.8,0,24.2,0,?,,,<,27.1,0
MACS_J2228+2036,0.412,0,118.79,0,107.22,0,1,8.4,0,18.1,0,?,,,<,16.8,0
MACS_J2229.7-2755,0.324,0.001,12.39,0,74.97,0,1.36,5.5,0,9.6,0,?,,,=,27.9,0
MACS_J2245.0+2637,0.304,0,42.03,0,105.93,0,1.33,5.1,0,9.47,0,?,,,=,19.1,0
MKW_03s,0.045,0,23.94,0,131.08,0,0.96,3.5,0,1.14,0,=,1.69,0,=,0.588,0
