NH results
     Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
J 43.61513, 41.57974| 0.100 | 0.102    | 8.54e+20 | 8.68e+20 | 3.11e+20 | 3.21e+20 | 1.17e+21 | 1.19e+21 |
J 192.20528, -41.31098| 0.115 | 0.119    | 8.30e+20 | 8.56e+20 | 3.45e+20 | 3.66e+20 | 1.18e+21 | 1.22e+21 |
J 263.26353, 43.76036| 0.023 | 0.020    | 1.99e+20 | 1.78e+20 | 1.42e+19 | 1.11e+19 | 2.14e+20 | 1.89e+20 |
J 186.74322, 33.54649| 0.016 | 0.017    | 1.82e+20 | 1.83e+20 | 8.99e+18 | 9.28e+18 | 1.91e+20 | 1.93e+20 |
J 299.86825, 40.73388| 0.514 | 0.469    | 3.02e+21 | 2.72e+21 | 1.43e+21 | 1.42e+21 | 4.45e+21 | 4.14e+21 |
J 85.02786, -40.83689| 0.036 | 0.034    | 3.09e+20 | 2.99e+20 | 3.75e+19 | 3.39e+19 | 3.46e+20 | 3.33e+20 |
J 73.71799, -18.11570| 0.056 | 0.057    | 4.04e+20 | 4.09e+20 | 8.10e+19 | 8.24e+19 | 4.85e+20 | 4.91e+20 |
J 66.46363, -8.56012| 0.149 | 0.164    | 7.48e+20 | 7.86e+20 | 3.96e+20 | 4.53e+20 | 1.14e+21 | 1.24e+21 |
J 193.27392, -9.20434| 0.042 | 0.044    | 3.20e+20 | 3.31e+20 | 4.67e+19 | 5.08e+19 | 3.67e+20 | 3.81e+20 |
J 150.05931, -19.63632| 0.041 | 0.042    | 3.91e+20 | 4.09e+20 | 5.65e+19 | 5.96e+19 | 4.48e+20 | 4.68e+20 |
J 252.78400, 4.99234| 0.108 | 0.107    | 6.29e+20 | 6.18e+20 | 2.48e+20 | 2.42e+20 | 8.78e+20 | 8.60e+20 |
J 139.52494, -12.09554| 0.051 | 0.051    | 4.68e+20 | 4.68e+20 | 8.46e+19 | 8.53e+19 | 5.52e+20 | 5.53e+20 |
J 187.44517, 8.00055| 0.021 | 0.021    | 1.54e+20 | 1.53e+20 | 9.79e+18 | 9.74e+18 | 1.64e+20 | 1.63e+20 |
J 187.70576, 12.39130| 0.030 | 0.028    | 2.07e+20 | 1.94e+20 | 2.01e+19 | 1.73e+19 | 2.27e+20 | 2.11e+20 |
J 2.92902, -15.38911| 0.025 | 0.025    | 1.86e+20 | 1.85e+20 | 1.46e+19 | 1.43e+19 | 2.00e+20 | 1.99e+20 |
J 8.86072, -20.26279| 0.021 | 0.021    | 1.61e+20 | 1.64e+20 | 1.01e+19 | 1.05e+19 | 1.71e+20 | 1.74e+20 |
J 29.95605, -8.83358| 0.024 | 0.025    | 2.13e+20 | 2.06e+20 | 1.63e+19 | 1.61e+19 | 2.29e+20 | 2.22e+20 |
J 40.64961, -21.54064| 0.028 | 0.029    | 2.64e+20 | 2.72e+20 | 2.45e+19 | 2.58e+19 | 2.89e+20 | 2.98e+20 |
J 44.28804, -23.43496| 0.026 | 0.026    | 2.05e+20 | 2.08e+20 | 1.70e+19 | 1.74e+19 | 2.22e+20 | 2.26e+20 |
J 44.42093, -22.15309| 0.025 | 0.025    | 2.06e+20 | 2.07e+20 | 1.61e+19 | 1.61e+19 | 2.22e+20 | 2.23e+20 |
J 47.23303, 26.76065| 0.243 | 0.230    | 1.13e+21 | 1.13e+21 | 8.21e+20 | 7.93e+20 | 1.95e+21 | 1.93e+21 |
J 52.42367, -2.19657| 0.059 | 0.059    | 4.68e+20 | 4.64e+20 | 9.90e+19 | 9.84e+19 | 5.67e+20 | 5.62e+20 |
J 64.39453, -11.90909| 0.050 | 0.049    | 3.42e+20 | 3.31e+20 | 5.99e+19 | 5.62e+19 | 4.02e+20 | 3.87e+20 |
J 67.40037, -2.88584| 0.054 | 0.051    | 4.63e+20 | 4.33e+20 | 8.94e+19 | 7.86e+19 | 5.53e+20 | 5.12e+20 |
J 80.17522, -13.48038| 0.126 | 0.130    | 7.21e+20 | 7.29e+20 | 3.28e+20 | 3.41e+20 | 1.05e+21 | 1.07e+21 |
