#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
ABELL_1423,1.71E-02,3.43E-02,0.01411,0.00078606,82.669,92.821,14.542,1.10E-10,1.24E-10,1.99E-11,2.63E+12,3.31E+11,5.42,0.83,2.11E-23,5.322,0.86724,3.1932,0.52034
ABELL_1446,1.88E-02,2.81E-02,0.0037235,0.000912,224.12,224.12,43.948,3.25E-11,3.25E-11,8.70E-12,2.39E+12,1.90E+11,4.8142,0.52587,2.10E-23,18.001,4.8277,10.801,2.8966
ABELL_1569,2.07E-02,2.76E-02,0.0021117,0.00037637,219.43,219.43,29.788,1.24E-11,1.24E-11,2.35E-12,7.21E+11,3.47E+10,3.1818,0.25243,1.53E-23,28.776,5.6142,17.266,3.3685
ABELL_1576,2.10E-02,4.19E-02,0.0088801,0.0022271,202.87,213.14,65.244,3.00E-10,3.16E-10,2.68E-10,-2.75E+12,-5.53E+11,9.14,2.39,2.46E-23,12.199,4.4198,7.3192,2.6519
ABELL_1644,1.82E-02,2.28E-02,0.0094602,0.0005219,55.891,55.891,3.9333,3.83E-11,3.83E-11,3.12E-12,2.25E+12,9.89E+10,2.7749,0.17749,1.94E-23,4.4188,0.37324,2.6513,0.22395
ABELL_1650,2.34E-02,3.12E-02,0.01546,0.00098081,85.381,85.381,11.754,1.33E-10,1.33E-10,1.93E-11,3.66E+12,3.52E+11,5.3461,0.73652,2.18E-23,4.6409,0.7039,2.7845,0.42234
ABELL_1651,2.24E-02,2.98E-02,0.008829,0.00048251,155.51,156.84,18.895,9.50E-11,9.58E-11,1.22E-11,2.83E+12,2.41E+11,6.7,0.77,2.43E-23,9.1215,1.1608,5.4729,0.69647
ABELL_1664,2.25E-02,3.38E-02,0.021167,0.00035835,36.187,36.187,2.5164,9.50E-11,9.50E-11,6.71E-12,3.10E+12,1.56E+11,2.7629,0.19,1.77E-23,2.156,0.15269,1.2936,0.091612
ABELL_1689,1.53E-02,3.06E-02,0.0335,0.0010742,92.133,92.133,8.0784,5.20E-10,5.20E-10,4.72E-11,2.42E+12,1.51E+11,9.135,0.8496,2.70E-23,2.9463,0.28985,1.7678,0.17391
ABELL_1736,1.99E-02,2.65E-02,0.0030701,0.00063281,177.36,177.36,27.973,1.86E-11,1.86E-11,4.10E-12,9.89E+11,5.61E+10,3.588,0.29,1.62E-23,21.097,4.6709,12.658,2.8026
ABELL_1758,2.01E-02,4.02E-02,0.0051292,0.00016112,179.67,271.33,43.871,4.44E-11,6.71E-11,1.09E-11,3.30E+12,5.89E+11,8.07,1.3,2.39E-23,19.225,3.1553,11.535,1.8932
ABELL_1763,1.54E-02,3.09E-02,0.006234,0.0023011,258.96,258.96,69.753,8.86E-11,8.86E-11,3.41E-11,-2.13E+12,-1.71E+11,8.4758,1.0383,2.48E-23,15.977,6.2136,9.5861,3.7281
ABELL_1795,2.27E-02,2.83E-02,0.026506,0.00036361,45.091,45.091,2.6833,1.72E-10,1.72E-10,1.04E-11,2.89E+12,1.24E+11,3.994,0.24301,1.95E-23,2.2588,0.14088,1.3553,0.08453
ABELL_1835,1.87E-02,3.75E-02,0.080362,0.00057896,28.675,28.675,2.8923,6.95E-10,6.95E-10,7.02E-11,4.05E+12,2.99E+11,4.9553,0.44767,2.01E-23,0.89498,0.081111,0.53699,0.048666
ABELL_1914,1.38E-02,2.76E-02,0.017262,0.00031316,104.06,132.05,18.309,1.94E-10,2.47E-10,3.43E-11,7.22E+11,9.29E+10,8.82,1.22,2.68E-23,5.5706,0.77714,3.3424,0.46628
ABELL_1942,1.78E-02,3.56E-02,0.0062395,0.0009614,190.25,190.25,33.41,6.52E-11,6.52E-11,1.37E-11,5.18E+12,5.41E+11,6.1213,0.9133,2.24E-23,12.809,2.7473,7.6855,1.6484
ABELL_1991,2.16E-02,2.70E-02,0.013808,0.00049399,37.422,37.422,2.0489,4.82E-11,4.82E-11,2.93E-12,2.61E+12,9.42E+10,2.1919,0.11112,1.95E-23,2.374,0.1473,1.4244,0.088382
ABELL_1995,2.30E-02,4.60E-02,0.0048736,0.00030777,423.99,423.99,133.97,9.62E-11,9.62E-11,3.07E-11,8.18E+12,1.88E+12,10.704,3.0336,2.78E-23,23.038,6.6894,13.823,4.0137
ABELL_2029,2.06E-02,2.74E-02,0.03757,0.00021012,55.917,55.917,2.5759,3.82E-10,3.82E-10,1.77E-11,5.47E+12,1.84E+11,6.2461,0.28386,2.39E-23,2.0337,0.09312,1.2202,0.055872
ABELL_2034,2.33E-02,3.50E-02,0.0054132,0.00075108,227.54,240.03,31.199,6.15E-11,6.49E-11,1.06E-11,2.57E+12,1.91E+11,7.4,0.71,2.38E-23,16.743,2.8245,10.046,1.6947
ABELL_2052,2.08E-02,2.42E-02,0.018396,0.00024779,38.678,38.678,1.2361,8.03E-11,8.03E-11,2.69E-12,1.77E+12,3.98E+10,2.6499,0.082876,1.90E-23,2.2129,0.075357,1.3278,0.045214
ABELL_2063,2.06E-02,2.41E-02,0.010232,0.00026356,74.749,74.749,4.1915,5.84E-11,5.84E-11,3.46E-12,1.05E+12,4.12E+10,3.506,0.19932,1.94E-23,5.1473,0.32127,3.0884,0.19276
ABELL_2065,2.05E-02,2.74E-02,0.0094809,0.0010958,88.453,94.206,10.201,6.09E-11,6.48E-11,8.76E-12,3.51E+12,2.21E+11,4.2895,0.35418,1.98E-23,6.6586,0.94583,3.9952,0.5675
ABELL_2069,2.07E-02,3.11E-02,0.001786,0.00022658,397.74,423.9,65.656,1.69E-11,1.81E-11,3.22E-12,1.43E+12,1.48E+11,6.24,0.83,2.21E-23,46.171,8.4867,27.703,5.092
ABELL_2104,2.55E-02,3.82E-02,0.0071158,0.0004435,200.65,228.14,43.249,8.56E-11,9.73E-11,1.89E-11,8.55E+12,1.33E+12,8.5106,1.5958,2.38E-23,14.651,2.895,8.7907,1.737
ABELL_2107,2.00E-02,2.40E-02,0.0065566,0.00020834,106.37,108.48,6.6722,3.96E-11,4.04E-11,2.65E-12,1.99E+12,8.60E+10,4.1507,0.29572,2.21E-23,8.3547,0.65176,5.0128,0.39106
ABELL_2111,1.82E-02,3.63E-02,0.007752,0.0021255,184.92,184.92,55.516,9.10E-11,9.10E-11,3.30E-11,5.16E+12,9.00E+11,7.2142,1.8314,2.29E-23,11.839,4.4237,7.1033,2.6542
ABELL_2124,1.87E-02,2.49E-02,0.0042369,0.00035013,168.07,175.68,29.377,3.02E-11,3.16E-11,5.60E-12,2.30E+12,2.80E+11,4.6,0.73,2.10E-23,15.058,2.6943,9.0349,1.6166
ABELL_2125,1.91E-02,3.83E-02,0.0023489,0.00026749,229.79,229.79,29.132,1.55E-11,1.55E-11,2.36E-12,2.26E+11,1.69E+10,3.5546,0.38502,1.85E-23,23.891,3.7548,14.335,2.2529
ABELL_2142,1.98E-02,2.38E-02,0.019013,0.00056618,83.566,87.595,4.6572,1.83E-10,1.92E-10,1.10E-11,1.85E+12,7.05E+10,6.3342,0.33756,2.21E-23,4.4097,0.2692,2.6458,0.16152
ABELL_2147,2.09E-02,2.44E-02,0.0024875,0.00044728,262.4,262.4,40.579,1.94E-11,1.94E-11,3.97E-12,6.32E+11,4.53E+10,4.5141,0.42885,1.84E-23,28.863,5.8697,17.318,3.5218
ABELL_2151,2.15E-02,2.51E-02,0.0063619,0.00058655,63.319,65.533,5.4299,2.24E-11,2.32E-11,2.46E-12,1.57E+12,6.89E+10,2.2643,0.13226,1.76E-23,5.911,0.64514,3.5466,0.38708
ABELL_2163,1.43E-02,2.86E-02,0.0060674,0.00019374,475.51,478.26,279.15,1.55E-10,1.56E-10,9.14E-11,5.52E+12,2.37E+12,15.91,9.28,3.30E-23,23.208,13.557,13.925,8.1343
ABELL_2187,1.52E-02,3.04E-02,0.0037426,0.0018165,203.57,247.66,75.716,7.14E-11,8.69E-11,8.89E-11,1.28E+13,1.72E+12,5.97,0.9,2.26E-23,20.587,10.463,12.352,6.2779
ABELL_2199,2.07E-02,2.37E-02,0.018139,0.00086136,53.379,53.379,2.6777,1.08E-10,1.08E-10,6.65E-12,2.10E+12,5.99E+10,3.7927,0.15381,2.00E-23,3.0528,0.19064,1.8317,0.11438
ABELL_2204,2.62E-02,3.92E-02,0.053484,0.00036582,48.433,48.433,4.4904,1.43E-09,1.43E-09,3.19E-10,1.17E+13,7.92E+11,5.808,0.40967,2.30E-23,1.3777,0.097629,0.82659,0.058577
